date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:28:17	143567/143567	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2001:28:17%20GMT	https://naftagaz.com/en/news/	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/en/news/index.html	(from https://naftagaz.com/en/)
01:28:17	307128/307128	---M--	200	added ('OK')	image/png	etag:%22614457f9-4afb8%22	https://naftagaz.com/local/templates/naftagaz/assets/images/landing/intro/man-1-xs.png	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/local/templates/naftagaz/assets/images/landing/intro/man-1-xs.png	(from https://naftagaz.com/en/)
01:28:17	104766/104766	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2001:28:17%20GMT	https://naftagaz.com/en/career/	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/en/career/index.html	(from https://naftagaz.com/en/)
01:28:17	43/43	---M--	200	added ('OK')	image/gif	etag:%22614457a8-2b%22	https://naftagaz.com/local/templates/naftagaz/assets/images/px-2x1.gif	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/local/templates/naftagaz/assets/images/px-2x1.gif	(from https://naftagaz.com/en/)
01:28:17	107091/107091	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2001:28:18%20GMT	https://naftagaz.com/en/contacts/	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/en/contacts/index.html	(from https://naftagaz.com/en/)
01:28:17	114721/114721	---M--	200	added ('OK')	image/jpeg	etag:%226132795b-1c021%22	https://naftagaz.com/upload/iblock/700/mclsa6fpz1zfeuht1hlx08lgqndupv42.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/iblock/700/mclsa6fpz1zfeuht1hlx08lgqndupv42.jpg	(from https://naftagaz.com/en/)
01:28:17	93740/93740	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2001:28:18%20GMT	https://naftagaz.com/en/hotline/	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/en/hotline/index.html	(from https://naftagaz.com/en/)
01:28:18	178285/178285	---M--	200	added ('OK')	image/jpeg	etag:%2261327b3f-2b86d%22	https://naftagaz.com/upload/resize_cache/iblock/700/745_478_2/mclsa6fpz1zfeuht1hlx08lgqndupv42.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/resize_cache/iblock/700/745_478_2/mclsa6fpz1zfeuht1hlx08lgqndupv42.jpg	(from https://naftagaz.com/en/)
01:28:18	110856/110856	---M--	200	added ('OK')	image/jpeg	etag:%2261327ae4-1b108%22	https://naftagaz.com/upload/resize_cache/iblock/700/560_360_2/mclsa6fpz1zfeuht1hlx08lgqndupv42.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/resize_cache/iblock/700/560_360_2/mclsa6fpz1zfeuht1hlx08lgqndupv42.jpg	(from https://naftagaz.com/en/)
01:28:18	25855/25855	---M--	200	added ('OK')	image/jpeg	etag:%226132795d-64ff%22	https://naftagaz.com/upload/iblock/8b7/4t04psz8rlzqgy32ldbzn6klbmkho06c.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/iblock/8b7/4t04psz8rlzqgy32ldbzn6klbmkho06c.jpg	(from https://naftagaz.com/en/)
